Name,Mass
C2H6O_1,14.052035
H_1S1O_1,14.969332
H_1O1,14.98709
CHN_1O,14.999666
H1N1,15.0109
C1H3,15.023475
CH5NO_1,15.047284
C_1H_4O2,15.95853
O_1S1,15.977157
O1,15.994915
H1O1P1S_1,16.004431
H2N1,16.018724
C1H4,16.0313
O_1H4N2,16.042533
C2H8O_1,16.067685
H16,16.1252
H_1O2N_1,16.978931
O1H1,17.00274
C3H_1N1O_2,17.005419
H3N1,17.026549
C1H5,17.039125
H_1Cl1O_1,17.9661
C_1H_2O2,17.97418
H2O_1S1,17.992807
H2O,18.010565
CH6,18.04695
H6N2O_1,18.058183
C_8H_9N1O1P2S1,18.847162
H1O2N_1,18.994581
H3O1,19.01839
H5N1,19.042199
C_10H_2O5P2,19.906451
C_1O2,19.98983
C3O_1,20.005085
H4O,20.026215
C2H_2,21.98435
C_1H2O2,22.00548
C3H2O_1,22.020735
CH_4O,23.963615
C2,24
C1O_1N2,24.011233
C_1H4O2,24.02113
C3H4O_1,24.036385
C1H_1N1,24.995249
C2H3NO_1,25.031634
H_2C1O1,25.979265
C1H2O_1N2,26.026883
C2H2O2S_1,26.033408
C3H6O_1,26.052035
C2HN_1O,26.999666
C1H1N1,27.0109
H3C2,27.023475
C2H5O_1N1,27.047284
H_4O2,27.95853
C_4H1N2O1P1,27.982651
Formic Acid_(_H2O)_CO,27.994915
N2,28.006148
ethyl addition_(_H2O)_C2H4,28.0313
C15H22O_7P_2,28.260219
H_1N1O1,28.990164
CHO,29.00274
CH3N,29.026549
C2H7N1O_1,29.062934
H_2S1,29.956422
H_2O2,29.97418
O1N1,29.997989
C1H2O1,30.010565
H_1S1,30.964247
CHN_1O2,30.994581
H1N1O1,31.005814
C1H5N1,31.0422
H_3Cl1,31.9454
O_2S2,31.954314
S1,31.972072
O2,31.98983
C1H4O_1S1,32.008457
C1H4O1,32.026215
C2H8,32.0626
H3O_1N1S1,33.003706
H_1Cl1,33.961
H2O2,34.00548
C4H2O_1,34.020735
C1H6O1,34.041865
H2O_1Cl1N1,34.9927
H3O2,35.013305
C3H1N1O_1,35.015984
C4H4N1P_1,35.060611
C_1H1O1P1,35.9765
H1Cl1,35.9766
C_1O3,35.984745
C3,36
H4O2,36.02113
C4H4O_1,36.036385
C3H3N1O_1,37.0316176
C5H2N5O_4P_1,37.0776
C2H_2O,37.979265
C3H2,38.01565
O2H6,38.03678
C4H6O_1,38.052035
C3H5N1O_1,39.047284
C4H9N1O_2,39.083669
C_7H_2O4P2,39.911536
CH_4O2,39.95853
C2O1,39.994915
C3H4,40.0313
C4H8O_1,40.067685
C2HO,41.00274
C2H3N,41.026549
C3H7N1O_1,41.062934
H_2S1C1,41.956422
C1H_2O2,41.97418
acetylation_(_H2O)_C2H2O,42.010565
C1H2N2,42.0218
C3H6,42.04695
C1H_1O2,42.982005
C1H1O1N1,43.005814
C2H3O,43.01839
C2H5N,43.042199
C2H5N1,43.0422
C3H7,43.054775
Carboxylation_CO2,43.98983
C2H4O1,44.026215
C3H8,44.0626
C4H12O_1,44.098985
H_1N1O2,44.985079
C2H3N_1O2,45.010231
CH3NO,45.021464
C2H5O1,45.03404
C2H7N1,45.057849
H_2O3,45.969095
C1H2O2,46.00548
C2H6O1,46.041865
H1O2N1,47.000729
C1H5N1O_1S1,47.019356
O1S1,47.966987
O3,47.984745
C4,48
C1H4S1,48.003372
C1H4O2,48.02113
C2H8O,48.057515
H1O3,48.99257
C1H5O2,49.028955
H2O3,50.0003788
C4H2,50.01565
C3H2N2O_1,50.026883
CH6O2,50.03675736
C4H5N1O_1,51.047284
C3H13N7O_6,51.153753
C_1H1O2P1,51.971418
C3O,51.99492709
H4O3,52.01601168
C4H4,52.03130009
C3H4N2O_1,52.042533
C5H8O_1,52.067685
C2H_1O_1N1S1,52.972406
C3H3N,53.02658088
C5H7N_1,53.051701
C_7H_4O5P2,53.890801
C_2H_2O1S2,53.923409
O_1Cl2,53.9428
C2H_2O2,53.97418207
C3H2O1,54.010565
C4H6,54.04694667
C3H3O1,55.01839
#N/A-1,55.04219874
C7H5N1O_3,55.057454
H_1O_3Cl3,55.914
CH_4O3,55.95342235
glyoxylate_(_H2O)_C2O2,55.98983
C2H3Cl_1O2S1,56.0165
C3H4O1,56.026215
C2H4N2,56.037448
C4H8,56.06258507
Glycine_C2H3NO,57.021464
acetone_(_H)_C3H5O,57.03404
C3H7N1,57.05784048
C1H_1o1,57.9253
#N/A-2,57.96908323
C2H2O2,58.00548
C1H2N2O1,58.016713
C3H6O1,58.04186423
C3H8N1,58.065674
C3H10N2O_1,58.089483
C2H5N1O_1S1,59.019356
C2H5N1O1,59.037114
CO3,59.98472903
C2H4O2,60.02112938
C1H4N2O1,60.032363
C3H8O1,60.05748915
C3H10N1,60.081324
C1H3N1S1,60.998621
C1H3N1O2,61.016379
C2H7O1N1,61.052764
C1H7N3,61.063997
#N/A-3,61.96401083
C1H3Cl1,61.9923
C1H2O3,62.00037604
C2H6S1,62.019022
C2H6O2,62.03676548
C4H3O_1N2,63.034708
O2S1,63.961902
H1O2P1,63.971418
O4,63.97966
H1O4S_1P1,63.989176
C4O,63.99494513
C1H1O2F1,63.996
C1H4O1S1,63.998287
C1H4O3,64.01603444
C5H4,64.0313
C4H3N1,65.026549
#N/A-4,65.0314789
H2O2S1,65.977552
H3O2P1,65.987068
H2O4,65.99531
C5H3Cl1O_2,66.0025
C4H2O,66.01058497
C4O2,66.03170709
C5H6,66.04693481
H1C2N3,67.017047
C5H5N_1O1,67.030966
C4H5N1,67.042199
C3O2,67.9898428
C4H4O1,68.026215
C5H8,68.0626
C4H6N1O2S_1,68.067782
C3H3N1O1,69.02145213
C4H7N1,69.057849
Cl2,69.9377
CH_2O3,69.9691005
C3H2O2,70.00548
C4H6O1,70.04186742
C4H10N2O_1,70.089483
C6H14O_1,70.114635
C2H1N1O2,71.000729
C3H3O2,71.013305
Alanine_C3H5NO,71.037114
C4H9N1,71.073499
C5H13O_1N1,71.109884
H_1O_2Cl3,71.9089
C2O3,71.984745
C3H4O2,72.02113089
C4H8O1,72.05751506
C4H12N2O_1,72.105133
C2H3N1O2,73.016379
C3H7O1N1,73.05276133
C2H2O3,74.00038763
C3H6O2,74.03678
C4H10O,74.0731841
C8H10O_2,74.08842
C2H5N1O2,75.032029
C6H5N1O_1,75.047284
C1H_2N_1O5,75.955851
C2H1O1Cl1,75.9716
C2H4O3,76.01604496
C6H4,76.0313
C5H3N1,77.026549
C1H7N3O1,77.058912
CH2O4,77.9953093
C5H2O,78.01062579
C2H6O3,78.03168735
C5H4N1,78.034374
C5H8N3O_2,78.081992
H_1O3S1,78.948992
O3P1,78.958508
C5H5N1,79.042199
O3S1,79.956817
H1O3P1,79.966333
C1H5O2P1,80.002718
#N/A-5,80.0185996
C5H4O1,80.026215
C6H8,80.0626
H1O3S1,80.964642
H3N1O2S1,80.988451
C5H7N1,81.057849
C6H11O_1N1,81.094234
H2O3S1,81.972467
C4H2O2,82.00548
C5H6O1,82.04187235
C6H9O2P_1,82.086492
H2N_1O4P1,82.965999
C5H9N1,83.073499
C3O3,83.98473983
acetotacetate_(_H2O)_C4H4O2,84.0211371
C4H4O4S_1,84.038888
C5H8O1,84.057515
C3H3N1O2,85.016379
C4H7N1O1,85.05273808
malonyl_group_(_H2O)_C3H2O3,86.00042078
C4H6O2,86.03678
C5H10O1,86.073165
C5H12N1,86.096974
C6H14,86.10955
C7H1N_1O1,86.999666
C4H9O1N1,87.068414
C3H4O3,88.016045
C7H4,88.0313
C3H6N1O2,88.039854
C4H8O2,88.05242153
C3H3N_1O4,89.000061
C6H3N1,89.026549
C3H7N1O2,89.047679
C7H7O_1N1,89.062934
C2H2O4,89.99529435
C3H6O3,90.031695
C2O2H6N2,90.042928
C7H6,90.04695
C6H5N1,91.042199
C2H4O4,92.01093823
C6H4O1,92.026215
C3H8O3,92.04736695
C7H8,92.0626
C5H3N1O1,93.021464
C4H3N3,93.032697
C6H7N1,93.057849
C5H7N3O_1,93.069082
C5H2O2,94.00548
C4H2O1N2,94.016713
C2H6O4,94.02660273
C1H5O_1N1S1e1,94.9638
C5H5N1O1,95.037114
H1O4P1,95.961248
C4O3,95.984745
C5H4O2,96.02113
C4H4N2O1,96.032363
C6H8O,96.057515
H_1N_1O3S2,96.91799
H3O3N1S1,96.983366
H4N1O3P1,96.992882
C4H3O2N1,97.016379
Proline_C5H7NO,97.052764
H3O4P1,97.976898
C4H2O3,98.000395
C5H6O2,98.03678
C6H10O1,98.073165
C4H5N1O2,99.032029
C8H5N1O_1,99.047284
Valine_C5H9NO,99.068414
C4H4O3,100.016045
C5H8O2,100.05243
C4H8O1N2,100.063663
C3H3O3N1,101.011294
Threonine_C4H7NO2,101.047679
C5H11N1O1,101.084064
C4H6O1S1,102.013937
C5H2O_1N4,102.033031
C5H10O2,102.06808
C6H14O1,102.104465
C6H1N1O1,103.005814
C8H9N1O_1,103.078584
C6O2,103.98983
C3H4O4,104.01096
C7H4O1,104.026215
C6H4N2,104.037448
C4H8O3,104.047345
C8H8,104.0626
C6H3N1O1,105.021464
C3H7N1O1S1,105.024836
C6H5N2,105.045273
C4H11N1O2,105.078979
C3H6O4,106.0266395
C6H4O1N1,106.029289
C2H5O2N1S1,107.004101
C2H6N1O2P1,107.013617
C6H5N1O1,107.037114
C7H9N1,107.073499
C1H1O4P1,107.961248
C6H4O2,108.02113
C3H8O4,108.0422932
C7H8O1,108.057515
C8H12,108.0939
C5H3O2N1,109.016379
C2H7O2N1S1,109.019751
C6H7O1N1,109.052764
C5H2O3,110.0004544
cytosine_(_H)_C4H4N3O,110.035437
C6H6O2,110.03678
C5H6O1N2,110.048013
C7H10O1,110.073165
C13H16O2P_2S_1,110.195432
C1H1N_1O3S2,110.93364
C3H1N3O2,111.006877
uracil_(_H)_C4H3N2O2,111.019453
C6H5Cl1,112.008
C5H4O3,112.016045
C4H4N2O2,112.027278
C6H8O2,112.052473
C5H12N4O_1,112.111281
C8H16,112.1252
H1S2O3,112.936714
C1H4N_1O5P1,112.976564
C5H7N1O2,113.047679
Isoleucine_C6H11NO,113.084064
C4H2O4,113.99531
C4H3F1N2O1,114.0229412
C5H6O3,114.031695
Asparagine_C4H6N2O2,114.042928
C6H10O2,114.06808
C5H10N2O1,114.079313
Aspartic_Acid_C4H5NO3,115.026944
C5H7O3,115.03952
C8H5N1,115.042199
C5H9N1O2,115.063329
C4H4O4,116.01096
C3H4N2O3,116.022193
C5H8O1S1,116.029587
C5H8O3,116.047345
C8H8O_1N2,116.073833
C5H12O1N2,116.094963
C4H7N1O1S1,117.024836
C4H7O3N1,117.042594
C5H3N5O_1,117.04393
C8H7N1,117.057849
C3H2O5,117.990225
C4H6O4,118.02661
C5H2N4,118.027946
C8H6O1,118.041865
C9H10,118.07825
C3H5N1O2S1,119.004101
C7H5N1O1,119.037114
C6H5N3,119.048347
C5H5N5O_1,119.05958
C7H4O2,120.02113
C6H4N2O1,120.032363
C3H8O1N2S1,120.035735
C4H8O4,120.0423337
C8H8O1,120.057515
C6H3N1O2,121.016379
C3H7N1O2S1,121.019751
C8H11N1,121.089149
C2H2O4S1,121.967382
C7H6O2,122.03678
C6H8N3,122.071822
C8H10O1,122.073165
C5H1N1O3,122.995644
C2H6N1O3P1,123.008532
C6H7N2O1,123.055838
C8H13N1,123.104799
H1C1O5P1,123.956163
C2H4O2S2,123.965274
C2H5O4P1,123.992548
C6H4O3,124.0161719
C6H6N1O2,124.039854
C2H3N_1O3S2,124.94929
C4H3N3O2,125.022527
thymine_(_H)_C5H5N2O2,125.035103
C7H7Cl1,126.0237
C6H6O3,126.031695
C6H8N1S1,126.037746
C5H6N2O2,126.042928
C6H10N2O1,126.079313
C5H10N4,126.090546
C8H14O1,126.104465
C5H5O3N1,127.026944
C6H9O2N1,127.063329
C7H17N3O_1,127.147332
C5H4O4,128.01096
C6H8O3,128.047345
Glutamine_C5H8N2O2,128.058578
Lysine_C6H12N2O,128.094963
Glutamic_Acid_C5H7NO3,129.042594
C6H11N1O2,129.078979
C7H19N3O_1,129.162982
C2H_6O7,129.917455
C5H3Cl1O2,129.9822
C5H6O4,130.02661
C9H6O1,130.041865
C6H10O3,130.062995
C10H10,130.07825
C6H14O1N2,130.110613
C7H16N1O1,130.123189
C8H5O1N1,131.037114
Methionine_C5H9NOS,131.040486
C5H9N1O3,131.058244
C6H5O_1N5,131.05958
C4H4O5,132.005875
C8H4O2,132.02113
pentose_C5H8O4,132.04226
C9H8O1,132.057515
C8H8N2,132.068748
C10H12,132.0939
C7H3N1O2,133.016379
C4H7N1O2S1,133.019751
C5H3N5,133.038845
C5H9O4,133.050085
C8H7N1O1,133.052764
H7O6P1,133.998028
C5H2O1N4,134.022861
C8H6O2,134.03678
adenine_(_H)_C5H4N5,134.04667
C4H10O1N2S1,134.051385
C5H10O4,134.05791
C8H8N1O1,134.060589
C7H5N1O2,135.032029
C4H9N1O2S1,135.035401
C8H9N1O1,135.068414
C2O7,135.964405
C4H9O3P1,136.028933
C4H8O5,136.037175
C5H4O1N4,136.038511
C8H8O2,136.05243
C9H12O1,136.088815
C10H16,136.1252
C3H8N1O3P1,137.024182
C7H7N1O2,137.047679
Histidine_C6H7N3O,137.058912
C7H6O3,138.031695
C6H6N2O2,138.042928
C9H14O1,138.104465
C2H4O3S2,139.960189
C6H4O4,140.01096
C7H8O3,140.0474882
C8H14N1O1,140.107539
C2H8O4N1P1,141.019097
C8H15N1O1,141.115364
C8H19N3O_1,141.162982
O5P2,141.922101
C1H3O6P1,141.966728
C2H6O3S2,141.975839
C10H6O1,142.041865
C7H10O3,142.062995
C6H10N2O2,142.074228
C11H10,142.07825
C10H10N2O_1,142.089483
C6H9N1O3,143.058244
C10H9N1,143.073499
C7H13N1O2,143.094629
C3H1N2O3P1,143.972481
C6H8O4,144.04226
C5H8N2O3,144.053493
C10H8O1,144.057515
C7H12O1S1,144.060887
C7H12O3,144.078645
C5H7N1O4,145.037509
C6H4Cl2,145.969
C9H6O2,146.03678
C6H10O4,146.05791
C10H10O1,146.073165
C7H1N1O3,146.995644
C8H5N1O2,147.032029
C8H4O3,148.016045
C5O5H8,148.037175
C9H8O2,148.05243
C6H12O4,148.07356
C10H12O1,148.088815
C6H5O1N4,149.046336
C8H7N1O2,149.047679
C9H11N1O1,149.084064
C5H2N4S1,150.000018
C8H6O3,150.031695
guanine_(_H)_C5H4N5O,150.041585
C5H10O5,150.052825
C6H6O1N4,150.054161
C9H10O2,150.06808
C5H13N1O2P1,150.068392
C10H14O1,150.104465
C3H6N1O4P1,151.003447
C7H5N1O3,151.026944
C7H9N3O1,151.074562
C3H5O5P1,151.987463
C4H9O2P1S1,152.00609
C3H8O1N2S2,152.007807
C7H4O4,152.01096
C8H8O3,152.047345
C6H8N4O1,152.069811
C10H16O1,152.120115
C3H6O5S1,153.993597
C3H7O5P1,154.003113
C11H6O1,154.041865
C10H18O1,154.135765
C8H13O2N1,155.094629
C7H8O4,156.04226
C6H7N1O4,157.037509
C10H7N1O1,157.052764
C7H11O3N1,157.073894
C6H11N3O2,157.085127
C8H15N1O2,157.110279
O6P2,157.917016
C6H6O5,158.021525
C10H6O2,158.03678
C7H10O4,158.05791
C10H10N2,158.084398
C6H14O1N4,158.116761
H3N1O5P2,158.94865
C6H9N1O4,159.053159
H2O6P2,159.932666
C5H8N2O2S1,160.03065
C6H8O5,160.037175
C7H12O4,160.07356
N3O2C6H14,160.108602
C13H20O_1,160.161585
H1O7P2N_1,160.916682
diphosphate_H3O6P2,160.940491
C6H11N1O4,161.068809
H4O6P2,161.948316
C9H6O3,162.031695
C6H10O3S1,162.035067
C10H10O2,162.06808
C5H10O3N1P1,163.039832
C6H11O5,163.06065
Tyrosine_C9H9NO2,163.063329
C10H13N1O1,163.099714
C5H12N2S2,164.044192
C6H12O5,164.068475
C7H8O1N4,164.069811
C10H12O2,164.08373
C12H20,164.1565
C3H8N3O3P1,165.03033
C5H12N1O3P1,165.055482
C9H11N1O2,165.078979
C8H10N2S1,166.05647
C9H10O3,166.062995
C5H13N1O3P1,166.063307
C10H14O2,166.09938
C9H13N1O2,167.094629
C6H3N1O3S1,168.983366
C4H10O5P1,169.026588
C1O6P2,169.917016
C3H7O6P1,169.998028
C6H10O_1Cl1N5,171.0676
C10H8N2O1,172.063663
C7H12N2O3,172.084793
C9H16O3,172.109945
C8H15N1O3,173.105194
C6H6O6,174.01644
C7H10O5,174.052825
C8H14O4,174.08921
C6H14O2N4,174.111676
C9H5N1O3,175.026944
C7H13N1O4,175.084459
H2O7P2,175.927581
C4O8,175.95932
C6H8O6,176.03209
C10H8O3,176.047345
C7H12O5,176.068475
C9H7N1O3,177.042594
C7H7N5O1,177.06506
H4O7P2,177.943231
C9H9N1O3,179.058244
C6H3Cl3,179.93
glucose_C6H12O6,180.06339
C10H12O3,180.078645
C10H15O2N1,181.110279
C5H12Cl1O1N2P1,182.0376
C8H10O1N2S1,182.051385
C13H10O1,182.073165
C10H14O3,182.094295
C12H22O1,182.167065
C7H9O3N3,183.064392
C8H13N3O2,183.100777
C7H4O4S1,183.983032
C7H4O6,184.00079
C4H9O6P1,184.013678
C8H12N2O3,184.084793
C10H24N4O_1,184.205181
C10H11O_1N5,185.10653
C11H6O3,186.031695
C8H14N2O3,186.100443
C8H13N1O4,187.084459
C7H13N3O3,187.095692
C8H12O1S2,188.032959
C11H8O3,188.047345
C12H12O2,188.08373
C10H7N1O3,189.042594
C10H10O2N2,190.074228
C14H22,190.17215
C10H8O4,192.04226
C7H12O6,192.06339
C11H12O3,192.078645
C12H16O2,192.11503
C7H3N3O4,193.012357
C9H7N1O4,193.037509
C9H11O2N3,193.085127
C5H7O4P1S1,193.98027
C9H6O5,194.021525
C9H8N1O4,194.045334
C11H18N2O1,194.141913
C15H30O_1,194.239835
C9H9N1O4,195.053159
C7H9O2N5,195.075625
C9H13O2N3,195.100777
C6H12O7,196.058305
C8H10N2O2S1,198.0463
C8H13N3O3,199.095692
C3H6O6P2,199.963966
C4H9O7P1,200.008593
C12H8O3,200.047345
C12H24O2,200.17763
C9H15N1O4,201.100109
C10H11N5,201.101445
C8H14N2O2S1,202.0776
C8H14N2O4,202.095358
C10H18O4,202.12051
C11H9N1O3,203.058244
glcnac_C8H13N1O5,203.079374
C10H13N5,203.117095
C10H4O5,204.005875
C11H8O4,204.04226
C15H24,204.1878
C10H11N3S1,205.067369
C9H11O1N5,205.09636
C1H4O8P2,205.938146
C6H6O8,206.00627
C11H10O4,206.05791
C10H10O3N2,206.069143
C8H14O6,206.07904
C14H8O2,208.05243
C6H11O6P1,210.029328
C14H26O1,210.198365
C5H10N1O6P1,211.024577
C5H9O7P1,212.008593
C12H20O3,212.141245
C5H10O7P1,213.016418
C13H10O3,214.062995
C12H10N2O2,214.074228
C12H8S2,216.006744
C11H4Cl1N1O2,216.993
C8H11N1O6,217.058639
C6H3I1O1,217.9228
C6H7N2O5P1,218.009261
C12H10O4,218.05791
C15H22O1,218.167065
C12H11O4,219.065735
C4H11O2Cl2N2P1,219.9935
C8H12O7,220.058305
C13H16O3,220.109945
C14H20O2,220.14633
C16H28,220.2191
C8H15O6N1,221.089939
C15H26O1,222.198365
C17H34O_1,222.271135
C12H17O3N1,223.120844
C3H2N2O6P2,223.938814
C12H8N4O1,224.069811
C12H16O4,224.10486
C15H28O1,224.214015
C6H10O7S1,226.014727
C14H26O2,226.19328
C18H26O_1,226.208535
C10H16N2O4,228.111008
C19H32O_2,228.26057
C5H11O8P1,230.019158
C8H10N2O6,230.053888
C9H14N2O5,230.090273
C8H12N2O4S1,232.05178
C19H36O_2,232.29187
C15H22O2,234.16198
C19H38O_2,234.30752
C6H10O5P1N3,235.03581
C8H12O8,236.05322
C19H26O_1,238.208535
C6H10N1O7P1,239.019492
H3O9P3,239.898999
C11H12O6,240.06339
C18H24,240.1878
C16H32O1,240.245315
C6H12O7N1P1,241.035142
C6H11O8P1,242.019158
C11H18N2O4,242.126658
C18H26,242.20345
C12H20O5,244.131075
C10H15O6N1,245.089939
C9H14N2O4S1,246.06743
C15H18O3,246.125595
C8H12N2O5S1,248.046695
C16H24O2,248.17763
C7H8N1O5P1S1,248.986084
C7H12O5N3P1,249.05146
C9H15N1O5S1,249.067096
C10H12N5O3,250.094015
C15H8O4,252.04226
C17H16O2,252.11503
C15H24O3,252.172545
C20H28O_1,252.224185
C13H6N2O4,254.032758
C10H10O4N2S1,254.03613
C18H22O1,254.167065
C16H17O2N1,255.125929
C18H24O1,256.182715
C7H8N5O4P1,257.031393
H5O10P3,257.909564
C10H14N2O6,258.085188
C13H14O2N4,258.111676
C7H4Cl4O2,259.8965
C13H16N4O2,260.127326
C16H20O3,260.141245
C18H28O1,260.214015
C9H15N2O5P1,262.071861
C18H30O1,262.229665
C11H8N2O4S1,264.02048
C10H16O8,264.08452
C18H32O1,264.245315
C_8H_6N7O9P3S1,264.822164
C18H34O1,266.260965
C_10H_12N7O11P3S1,266.765044
C16H13N1O3,267.089544
C17H17O2N1,267.125929
C10H8O3N2S2,267.997637
C7H13O7N2P1,268.046041
C20H12O1,268.088815
C20H28,268.2191
C17H19O2N1,269.141579
C19H10O2,270.06808
C19H26O1,270.198365
C10H10F1N3O5,271.0604502
C10H16Cl_1O6N3S1,271.1071
C19H28O1,272.214015
C20H32,272.2504
C14H10O2S2,274.012224
C11H17N1O7,275.100504
C14H15O5N1,277.095024
C5H12O9P2,277.995661
C14H14O6,278.07904
C20H38,278.29735
C11H13N5O2S1,279.078997
C18H14N1F1O1,279.1059422
C_9H_10N7O11P3S1,280.780694
C9H16N1O7P1,281.066442
C18H19O2N1,281.141579
C_8H_4N7O10P3S1,282.832729
C8H14N1O8P1,283.045707
C17H17N1O3,283.120844
C2H7O10P3,283.925214
C15H8O6,284.03209
C16H12O5,284.068475
C20H28O1,284.214015
C_10H_10N7O12P3S1,284.775609
C11H14N2O7,286.080103
C20H30O1,286.229665
C21H34,286.26605
C17H21O3N1,287.152144
C18H8O4,288.04226
C20H32O1,288.245315
C20H34O1,290.260965
C11H17N1O8,291.095419
C5H10O10P2,291.974926
C6H12O9S2,291.992279
C12H20O8,292.11582
C20H36O1,292.276615
C5H_6O15,293.876775
C11H18O9,294.095085
C19H22O1N2,294.173213
C20H38O1,294.292265
C_8H_8N7O11P3S1,294.796344
C14H12N6O2,296.102174
C11H15N5O3S1,297.089562
C18H19N1O3,297.136494
C_9H_8N7O12P3S1,298.791259
C19H25N1O2,299.188529
C17H18O5,302.115425
C9H11N3O7P1,304.033465
C15H12O7,304.058305
C10H16N4O5S1,304.084143
C9H12N3O7P1,305.04129
C10H15N3O6S1,305.068159
C11H20O5N3P1,305.11406
C12H23O6N3,305.158687
C18H10O5,306.052825
C10H17N3O6S1,307.083809
neugc_C11H17N1O9,307.0903183
C18H12O5,308.068475
C10H17N2O7P1,308.077341
C15H16O7,308.089605
C12H20O9,308.110735
C20H24O1N2,308.188863
C19H20N1O3,310.144319
C22H30O1,310.229665
C19H21O3N1,311.152144
C8H13N2O9P1,312.035871
C22H32O1,312.245315
C_8H_6N7O12P3S1,312.806909
C16H10O7,314.042655
C22H34O1,314.260965
C12H12O10,316.04305
C11H14N2O7P1,317.053866
C11H13N1O8P1,318.037882
C20H18O2N2,318.136828
C20H30O3,318.219495
C21H34O2,318.25588
C22H38O1,318.292265
C9H13O7N4P1,320.052189
C22H40O1,320.307915
C6H11O10N1S2,320.982443
